title,company,location,link
2021년 상반기 엔지니어 정규직(신입&경력) 채용,블루닷(주),서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40279313&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[서울아산병원 연구중심병원과제] 의료영상 분석 및 SW 개발자,서울아산병원,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40151023&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
테크팀 개발자 채용 (Django Backend),(주)볼드코퍼레이션,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40271212&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
(정규직) 기업부설연구소 연구원 모집 (신입가능),(주)대은계전,제주,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40226989&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
연구·실험·기술&생명공학 계약직 모집(각 분야별),대구경북과학기술원부설한국뇌연구원,대구,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40191839&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
(주)티앤에프 평택공장 IT지원팀 신규 직원 채용,(주)티앤에프,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40124542&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
"테라젠바이오 국가과제팀 개발자, 연구원 채용",(주)테라젠바이오,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40132178&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[ 2021 공개채용 ] 온라인 서비스 프론트/백엔드 개발 모집,엠제이콥(주),서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39947162&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
소프트웨어(SW) 프로그램 개발자 정규직 모집 (신입 무관),(주)그림,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39861590&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
"[SIZL 개발부 (송도)]  Front-end//Back-end 경력, 신입 모집",(주)시즐,인천,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39946824&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
